t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z
24.788,128.576477051,192.96182251,185.0,231.0,76.0,88.0,-166.0625,-385.578125,1507.03125,134.746414185,-598.273986816,1537.03125,-435.074310303,165.742584229,1477.03125
24.835,137.104629517,146.066253662,179.0,231.0,78.0,88.0,-128.635101318,-146.450363159,1602.20214844,108.748168945,-635.31829834,1632.20214844,-452.081512451,176.422027588,1572.20214844
24.881,137.272079468,146.011871338,179.0,231.0,78.0,88.0,-128.054595947,-146.557159424,1606.72302246,109.049385071,-637.078063965,1636.72302246,-453.381469727,176.929336548,1576.72302246
24.944,133.114242554,160.051177979,177.0,231.0,80.0,82.0,-159.971221924,-238.305938721,1696.77856445,102.939079285,-672.131286621,1726.77856445,-467.586975098,222.103805542,1666.77856445
24.975,132.394973755,158.730621338,175.0,231.0,80.0,80.0,-164.835296631,-231.26852417,1702.81567383,91.1461105347,-674.481140137,1732.81567383,-469.280578613,234.640258789,1672.81567383
25.006,130.274047852,158.880752563,175.0,231.0,80.0,78.0,-178.207641602,-233.090820312,1709.60571289,91.5032653809,-677.124145508,1739.60571289,-471.185394287,247.372360229,1679.60571289
25.038,129.726501465,158.447814941,175.0,231.0,80.0,74.0,-185.510147095,-235.600708008,1747.4732666,93.4951019287,-691.863647461,1777.4732666,-481.808532715,277.039886475,1717.4732666
25.1,130.286437988,158.574081421,175.0,231.0,78.0,72.0,-199.375,-258.828125,1913.46875,102.226463318,-756.475708008,1943.46875,-541.585144043,317.02545166,1883.46875
25.225,127.124794006,150.090606689,171.0,231.0,76.0,66.0,-208.428344727,-190.773971558,1807.98083496,70.8970794678,-715.415649414,1837.98083496,-523.722045898,336.678436279,1777.98083496
25.256,127.900115967,148.69631958,169.0,231.0,76.0,64.0,-204.927215576,-183.198699951,1820.5456543,58.4031982422,-720.306335449,1850.5456543,-527.423156738,351.61541748,1790.5456543
25.288,123.650192261,145.72428894,169.0,231.0,74.0,62.0,-236.329833984,-167.247512817,1854.05200195,59.4606590271,-733.348388672,1884.05200195,-550.085449219,370.987884521,1824.05200195
25.319,124.563934326,145.693313599,169.0,231.0,74.0,62.0,-232.412872314,-168.51348877,1870.33813477,59.974647522,-739.68762207,1900.33813477,-554.996948242,374.300231934,1840.33813477
25.35,124.212081909,145.772857666,167.0,231.0,74.0,62.0,-237.285385132,-170.882278442,1890.77600098,47.1487007141,-747.64276123,1920.77600098,-561.160461426,378.457061768,1860.77600098
25.397,123.232025146,145.676483154,165.0,231.0,74.0,60.0,-246.971405029,-172.469512939,1915.50134277,34.111125946,-757.266906738,1945.50134277,-568.617004395,396.709472656,1885.50134277
25.428,122.189399719,144.27923584,165.0,231.0,74.0,60.0,-256.386413574,-164.632843018,1933.69030762,34.4300384521,-764.346801758,1963.69030762,-574.102294922,400.536437988,1903.69030762
