t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z
2.558,314.640106201,101.826423645,307.0,145.0,260.0,72.0,1356.796875,159.453125,2502.0625,1305.22766113,-221.977523804,2532.0625,866.869934082,416.09753418,2472.0625
2.589,306.630615234,112.165016174,307.0,145.0,256.0,58.0,1269.2109375,67.818359375,2468.39453125,1287.87255859,-219.025970459,2498.39453125,820.861206055,530.139465332,2438.39453125
2.62,302.599975586,108.430992126,307.0,145.0,250.0,50.0,1256.76464844,101.960205078,2513.27490234,1311.00756836,-222.960479736,2543.27490234,783.721618652,609.561279297,2483.27490234
2.652,302.095947266,103.078178406,307.0,145.0,256.0,36.0,1231.25476074,146.626800537,2470.99438477,1289.21276855,-219.253875732,2500.99438477,821.73638916,719.019287109,2440.99438477
2.683,301.210968018,92.0592956543,307.0,147.0,250.0,24.0,1219.29846191,241.25642395,2462.33447266,1284.7487793,-235.974258423,2492.33447266,767.644775391,818.821044922,2432.33447266
2.714,297.931640625,66.0679931641,307.0,147.0,256.0,12.0,1090.578125,426.421875,2254.75,1177.74304199,-216.320144653,2284.75,748.939941406,842.557250977,2224.75
2.745,294.010101318,67.5927124023,307.0,147.0,258.0,8.0,1071.39794922,418.991241455,2279.91552734,1190.7154541,-218.702835083,2309.91552734,773.190917969,883.646789551,2249.91552734
2.792,293.280975342,67.4767456055,307.0,147.0,258.0,8.0,1065.12524414,419.743621826,2278.96679688,1190.22631836,-218.612991333,2308.96679688,772.864929199,883.274169922,2248.96679688
2.823,290.300384521,63.2429695129,307.0,147.0,258.0,8.0,1031.58447266,449.34375,2257.69140625,1179.25927734,-216.598632812,2287.69140625,765.553588867,874.918395996,2227.69140625
2.855,287.890258789,59.0908813477,307.0,147.0,256.0,8.0,1004.22814941,478.274414062,2239.23852539,1169.74719238,-214.851531982,2269.23852539,743.718139648,867.671081543,2209.23852539
2.886,286.330078125,59.3098182678,307.0,147.0,256.0,8.0,993.327636719,477.204040527,2242.28710938,1171.31860352,-215.140167236,2272.28710938,744.744384766,868.868347168,2212.28710938
